dest_region_id,avg_volume,cv,peak_ratio,growth_rate,category_entropy,region_name,locker_score,cluster_id,cluster_label,lat,lon,business_interpretation,recommended_action
1,456.9447619047619,0.4398069267265833,0.0,0.432928191321329,1.5247055578964241,Region-1,654.7690312099458,1,Cluster-1,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
2,278.687619047619,0.4388797231004457,0.0,0.4164425263216431,1.525591850655557,Region-2,394.7449951783732,4,Cluster-4,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
3,133.95904761904762,0.44460441797426686,0.0,0.414572565258964,1.5250232817536962,Region-3,189.49479363012392,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
4,381.88380952380953,0.4374404658999205,0.0,0.4305419593093335,1.5256099326855423,Region-4,546.3008131047028,1,Cluster-1,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
5,315.5390476190476,0.438938892035971,0.0,0.4293275190494194,1.5257465668547214,Region-5,451.00864409655,4,Cluster-4,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
6,194.81142857142856,0.4415847055546629,0.0,0.4136806248814291,1.5246393811938654,Region-6,275.401142076901,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
7,225.0895238095238,0.4397782334653499,0.0,0.4176799673969996,1.5249178073962897,Region-7,319.10490877569185,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
8,108.35238095238095,0.44666795599969783,0.0,0.4112192508911436,1.5241503984652864,Region-8,152.90896587989087,3,Cluster-3,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
9,274.8619047619048,0.4384714408266246,0.0,0.4210964079828445,1.5253025634553046,Region-9,390.6052655484656,4,Cluster-4,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
10,138.01333333333332,0.44531871084401053,0.0,0.4199513451902876,1.5253191042502157,Region-10,195.97221832086223,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
11,187.46190476190475,0.44226793109217255,0.0,0.4260471444158871,1.5249296724247834,Region-11,267.32951397247723,5,Cluster-5,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
12,221.55238095238096,0.4394204936001021,0.0,0.4106342403808133,1.5255458880578694,Region-12,312.52937460932253,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
13,263.86380952380955,0.44282424641098334,0.0,0.43048213694127574,1.524599935435858,Region-13,377.4524661090848,5,Cluster-5,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
14,170.58380952380952,0.4430249994550957,0.0,0.41527312098410174,1.5251889668132133,Region-14,241.42268049411945,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
15,292.48761904761903,0.4426727604030074,0.0,0.43018246905586754,1.524119173884628,Region-15,418.3106651777958,5,Cluster-5,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
16,179.20857142857142,0.4443244851170551,0.0,0.42288073756845,1.5239049543453531,Region-16,254.99242429287395,3,Cluster-3,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
17,229.21714285714285,0.4393269869478421,0.0,0.4155737541404162,1.5251590016147334,Region-17,324.47377142762576,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
18,512.052380952381,0.4378977267380885,0.0,0.42765355546257433,1.5253830343467858,Region-18,731.0334022497433,1,Cluster-1,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
19,248.94571428571427,0.4388211277549173,0.0,0.42423359873920374,1.5256728894654694,Region-19,354.5568505478444,4,Cluster-4,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
20,258.1752380952381,0.44058420684496813,0.0,0.4283083186698943,1.5256880793296772,Region-20,368.7538402460092,4,Cluster-4,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
21,138.48285714285714,0.4474857329860766,0.0,0.42050627748804886,1.523778701967422,Region-21,196.71576789590924,3,Cluster-3,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
22,247.51714285714286,0.4413759542654626,0.0,0.4149230874583459,1.5251142485300906,Region-22,350.217719970297,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
23,68.5952380952381,0.4522096001579864,0.0,0.41116278461208866,1.5250975134098355,Region-23,96.79904720160542,2,Cluster-2,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
24,61.12952380952381,0.4521277046057438,0.0,0.40981007934661895,1.52565964930917,Region-24,86.18101881232579,2,Cluster-2,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
25,190.13904761904763,0.43993793472437526,0.0,0.41431552532499494,1.5250064977117097,Region-25,268.91660701812754,0,Cluster-0,37.55,126.98,수요/변동성 특성이 유사한 지역군,군집별 차등 재고/배차 운영
